source,series_id,series_label,weighting,window,class,long_side,excess_convention,n_months,ann_arith_return_pct,ann_geo_return_pct,ann_vol_pct,sharpe_excess_rf,max_drawdown_pct
aqr,BAB_USA,Betting Against Beta (USA),vw,W_common,b,low beta,already_excess,15,6.3774,6.4102,5.6544,1.1279,-2.8505
aqr,BAB_USA,Betting Against Beta (USA),vw,W_select,b,low beta,already_excess,27,2.5234,2.2653,7.651,0.3298,-12.8053
aqr,QMJ_USA,Quality Minus Junk (USA),vw,W_common,b,high quality,already_excess,15,-11.9359,-11.6829,9.4766,-1.2595,-18.8291
aqr,QMJ_USA,Quality Minus Junk (USA),vw,W_select,b,high quality,already_excess,27,-11.6415,-11.476,9.9755,-1.167,-29.4499
aqr,TSMOM_diversified,Time Series Momentum (diversified factor),na,W_common,b,trend-following (long winners / short losers per asset),already_excess,15,-1.5191,-2.0803,11.1108,-0.1367,-11.3482
aqr,TSMOM_diversified,Time Series Momentum (diversified factor),na,W_select,b,trend-following (long winners / short losers per asset),already_excess,27,0.0455,-0.386,9.442,0.0048,-14.7646
aqr,VME_MOM_US,Value and Momentum Everywhere: US stock Momentum,na,W_common,b,high momentum,already_excess,15,14.0356,14.4873,9.6651,1.4522,-3.3854
aqr,VME_MOM_US,Value and Momentum Everywhere: US stock Momentum,na,W_select,b,high momentum,already_excess,27,8.5851,8.3551,10.5868,0.8109,-7.5001
aqr,VME_VAL_US,Value and Momentum Everywhere: US stock Value,na,W_common,b,high value (cheap),already_excess,15,-13.4771,-13.2477,11.8169,-1.1405,-15.8955
aqr,VME_VAL_US,Value and Momentum Everywhere: US stock Value,na,W_select,b,high value (cheap),already_excess,27,-6.53,-7.1557,13.4757,-0.4846,-23.0139
french,AC_D_decile01,10 Portfolios Formed on Accruals - decile 1 (Lo),vw,W_common,a,n/a,subtract_rf,15,23.68,24.9938,15.8332,1.1693,-7.46
french,AC_D_decile01,10 Portfolios Formed on Accruals - decile 1 (Lo),ew,W_common,a,n/a,subtract_rf,15,18.648,17.4621,23.0347,0.5839,-8.84
french,AC_D_decile01,10 Portfolios Formed on Accruals - decile 1 (Lo),vw,W_select,a,n/a,subtract_rf,27,27.4756,29.7649,15.4206,1.4758,-8.4181
french,AC_D_decile01,10 Portfolios Formed on Accruals - decile 1 (Lo),ew,W_select,a,n/a,subtract_rf,27,3.8,1.4907,21.9072,-0.0425,-21.2147
french,AC_D_decile02,10 Portfolios Formed on Accruals - decile 2 (2),vw,W_common,a,n/a,subtract_rf,15,30.904,34.5331,13.8302,1.8602,-4.1
french,AC_D_decile02,10 Portfolios Formed on Accruals - decile 2 (2),ew,W_common,a,n/a,subtract_rf,15,15.52,13.8043,23.4952,0.4398,-9.3502
french,AC_D_decile02,10 Portfolios Formed on Accruals - decile 2 (2),vw,W_select,a,n/a,subtract_rf,27,27.3156,29.743,14.3976,1.5708,-7.67
french,AC_D_decile02,10 Portfolios Formed on Accruals - decile 2 (2),ew,W_select,a,n/a,subtract_rf,27,8.7822,6.8632,21.1009,0.1922,-21.1067
french,AC_D_decile03,10 Portfolios Formed on Accruals - decile 3 (3),vw,W_common,a,n/a,subtract_rf,15,31.36,35.6819,9.9801,2.6231,-2.27
french,AC_D_decile03,10 Portfolios Formed on Accruals - decile 3 (3),ew,W_common,a,n/a,subtract_rf,15,14.984,14.1924,18.9252,0.5177,-6.9277
french,AC_D_decile03,10 Portfolios Formed on Accruals - decile 3 (3),vw,W_select,a,n/a,subtract_rf,27,17.7778,18.6215,10.9904,1.1943,-7.6936
french,AC_D_decile03,10 Portfolios Formed on Accruals - decile 3 (3),ew,W_select,a,n/a,subtract_rf,27,17.6356,17.0859,19.2798,0.6696,-16.7754
french,AC_D_decile04,10 Portfolios Formed on Accruals - decile 4 (4),vw,W_common,a,n/a,subtract_rf,15,14.592,14.7298,12.9405,0.7263,-5.32
french,AC_D_decile04,10 Portfolios Formed on Accruals - decile 4 (4),ew,W_common,a,n/a,subtract_rf,15,15.744,14.3235,22.291,0.4737,-8.3526
french,AC_D_decile04,10 Portfolios Formed on Accruals - decile 4 (4),vw,W_select,a,n/a,subtract_rf,27,14.5422,14.424,14.4387,0.68,-11.942
french,AC_D_decile04,10 Portfolios Formed on Accruals - decile 4 (4),ew,W_select,a,n/a,subtract_rf,27,16.1378,15.388,19.1198,0.5965,-15.2964
french,AC_D_decile05,10 Portfolios Formed on Accruals - decile 5 (5),vw,W_common,a,n/a,subtract_rf,15,25.28,27.5867,12.1642,1.6478,-3.35
french,AC_D_decile05,10 Portfolios Formed on Accruals - decile 5 (5),ew,W_common,a,n/a,subtract_rf,15,25.984,26.5505,21.8929,0.9496,-6.08
french,AC_D_decile05,10 Portfolios Formed on Accruals - decile 5 (5),vw,W_select,a,n/a,subtract_rf,27,14.8889,14.9068,13.766,0.7398,-14.3875
french,AC_D_decile05,10 Portfolios Formed on Accruals - decile 5 (5),ew,W_select,a,n/a,subtract_rf,27,20.7156,20.8842,18.3252,0.8729,-11.3009
french,AC_D_decile06,10 Portfolios Formed on Accruals - decile 6 (6),vw,W_common,a,n/a,subtract_rf,15,27.128,29.5886,14.2428,1.5374,-4.42
french,AC_D_decile06,10 Portfolios Formed on Accruals - decile 6 (6),ew,W_common,a,n/a,subtract_rf,15,21.4,20.9046,22.2367,0.7288,-6.98
french,AC_D_decile06,10 Portfolios Formed on Accruals - decile 6 (6),vw,W_select,a,n/a,subtract_rf,27,19.6889,20.3586,14.6648,1.0217,-11.7252
french,AC_D_decile06,10 Portfolios Formed on Accruals - decile 6 (6),ew,W_select,a,n/a,subtract_rf,27,19.1911,18.8881,19.2288,0.7522,-15.2424
french,AC_D_decile07,10 Portfolios Formed on Accruals - decile 7 (7),vw,W_common,a,n/a,subtract_rf,15,43.88,49.9134,24.3826,1.5873,-6.97
french,AC_D_decile07,10 Portfolios Formed on Accruals - decile 7 (7),ew,W_common,a,n/a,subtract_rf,15,21.808,21.6559,21.1159,0.7869,-6.4
french,AC_D_decile07,10 Portfolios Formed on Accruals - decile 7 (7),vw,W_select,a,n/a,subtract_rf,27,34.2756,37.736,19.7646,1.4966,-10.294
french,AC_D_decile07,10 Portfolios Formed on Accruals - decile 7 (7),ew,W_select,a,n/a,subtract_rf,27,17.8711,17.5782,18.1313,0.7251,-13.5775
french,AC_D_decile08,10 Portfolios Formed on Accruals - decile 8 (8),vw,W_common,a,n/a,subtract_rf,15,19.896,20.1914,17.2444,0.8518,-7.9297
french,AC_D_decile08,10 Portfolios Formed on Accruals - decile 8 (8),ew,W_common,a,n/a,subtract_rf,15,19.336,18.2089,23.3763,0.6049,-7.2519
french,AC_D_decile08,10 Portfolios Formed on Accruals - decile 8 (8),vw,W_select,a,n/a,subtract_rf,27,23.6622,23.9291,20.7864,0.9103,-14.9835
french,AC_D_decile08,10 Portfolios Formed on Accruals - decile 8 (8),ew,W_select,a,n/a,subtract_rf,27,16.1644,15.3501,19.481,0.5869,-15.331
french,AC_D_decile09,10 Portfolios Formed on Accruals - decile 9 (9),vw,W_common,a,n/a,subtract_rf,15,27.04,28.569,18.8767,1.158,-6.84
french,AC_D_decile09,10 Portfolios Formed on Accruals - decile 9 (9),ew,W_common,a,n/a,subtract_rf,15,17.416,16.451,21.2914,0.5743,-9.1231
french,AC_D_decile09,10 Portfolios Formed on Accruals - decile 9 (9),vw,W_select,a,n/a,subtract_rf,27,20.4267,21.0659,15.6144,1.0071,-8.1137
french,AC_D_decile09,10 Portfolios Formed on Accruals - decile 9 (9),ew,W_select,a,n/a,subtract_rf,27,18.0044,17.3353,19.9751,0.6645,-18.9349
french,AC_D_decile10,10 Portfolios Formed on Accruals - decile 10 (Hi),vw,W_common,a,n/a,subtract_rf,15,28.056,29.4375,20.8484,1.0983,-6.3647
french,AC_D_decile10,10 Portfolios Formed on Accruals - decile 10 (Hi),ew,W_common,a,n/a,subtract_rf,15,6.128,3.9971,21.7208,0.0438,-7.91
french,AC_D_decile10,10 Portfolios Formed on Accruals - decile 10 (Hi),vw,W_select,a,n/a,subtract_rf,27,24.3067,25.1372,18.8117,1.0421,-9.4617
french,AC_D_decile10,10 Portfolios Formed on Accruals - decile 10 (Hi),ew,W_select,a,n/a,subtract_rf,27,6.0711,3.8787,21.5739,0.0622,-20.028
french,AC_D_spread,10 Portfolios Formed on Accruals - top minus bottom decile (long=low; standard accrual anomaly (Sloan 1996); not independently re-verified against a French text page today),vw,W_common,b,low,already_excess,15,-4.376,-5.461,16.0766,-0.2722,-25.4495
french,AC_D_spread,10 Portfolios Formed on Accruals - top minus bottom decile (long=low; standard accrual anomaly (Sloan 1996); not independently re-verified against a French text page today),ew,W_common,b,low,already_excess,15,12.52,13.0842,5.8969,2.1232,-2.4646
french,AC_D_spread,10 Portfolios Formed on Accruals - top minus bottom decile (long=low; standard accrual anomaly (Sloan 1996); not independently re-verified against a French text page today),vw,W_select,b,low,already_excess,27,3.1689,1.7474,17.2808,0.1834,-25.4495
french,AC_D_spread,10 Portfolios Formed on Accruals - top minus bottom decile (long=low; standard accrual anomaly (Sloan 1996); not independently re-verified against a French text page today),ew,W_select,b,low,already_excess,27,-2.2711,-2.5285,7.7156,-0.2944,-19.049
french,BEME_D_decile01,10 Portfolios Formed on Book-to-Market - decile 1 (Lo),vw,W_common,a,n/a,subtract_rf,15,35.432,40.5682,14.0621,2.1487,-4.09
french,BEME_D_decile01,10 Portfolios Formed on Book-to-Market - decile 1 (Lo),ew,W_common,a,n/a,subtract_rf,15,17.312,16.976,18.2583,0.6633,-5.88
french,BEME_D_decile01,10 Portfolios Formed on Book-to-Market - decile 1 (Lo),vw,W_select,a,n/a,subtract_rf,27,27.5378,29.9587,14.8503,1.5389,-9.9607
french,BEME_D_decile01,10 Portfolios Formed on Book-to-Market - decile 1 (Lo),ew,W_select,a,n/a,subtract_rf,27,11.0356,10.0003,17.473,0.3613,-15.4087
french,BEME_D_decile02,10 Portfolios Formed on Book-to-Market - decile 2 (2),vw,W_common,a,n/a,subtract_rf,15,23.352,25.2167,11.9524,1.5168,-4.27
french,BEME_D_decile02,10 Portfolios Formed on Book-to-Market - decile 2 (2),ew,W_common,a,n/a,subtract_rf,15,18.912,18.6112,19.3645,0.7084,-7.1946
french,BEME_D_decile02,10 Portfolios Formed on Book-to-Market - decile 2 (2),vw,W_select,a,n/a,subtract_rf,27,19.96,20.8742,13.3077,1.1454,-14.1345
french,BEME_D_decile02,10 Portfolios Formed on Book-to-Market - decile 2 (2),ew,W_select,a,n/a,subtract_rf,27,14.6933,14.047,17.5803,0.5672,-14.7142
french,BEME_D_decile03,10 Portfolios Formed on Book-to-Market - decile 3 (3),vw,W_common,a,n/a,subtract_rf,15,28.544,31.4809,13.6173,1.7169,-5.07
french,BEME_D_decile03,10 Portfolios Formed on Book-to-Market - decile 3 (3),ew,W_common,a,n/a,subtract_rf,15,21.12,19.985,24.5704,0.6485,-7.37
french,BEME_D_decile03,10 Portfolios Formed on Book-to-Market - decile 3 (3),vw,W_select,a,n/a,subtract_rf,27,24.52,26.2461,14.3956,1.3778,-10.9927
french,BEME_D_decile03,10 Portfolios Formed on Book-to-Market - decile 3 (3),ew,W_select,a,n/a,subtract_rf,27,18.2444,17.4289,20.8918,0.6471,-18.5294
french,BEME_D_decile04,10 Portfolios Formed on Book-to-Market - decile 4 (4),vw,W_common,a,n/a,subtract_rf,15,13.072,12.6319,15.4743,0.5102,-5.95
french,BEME_D_decile04,10 Portfolios Formed on Book-to-Market - decile 4 (4),ew,W_common,a,n/a,subtract_rf,15,12.144,10.8896,19.5488,0.3559,-8.0103
french,BEME_D_decile04,10 Portfolios Formed on Book-to-Market - decile 4 (4),vw,W_select,a,n/a,subtract_rf,27,10.1778,9.7635,13.1036,0.4164,-11.582
french,BEME_D_decile04,10 Portfolios Formed on Book-to-Market - decile 4 (4),ew,W_select,a,n/a,subtract_rf,27,9.9067,8.7438,17.6321,0.2937,-17.0401
french,BEME_D_decile05,10 Portfolios Formed on Book-to-Market - decile 5 (5),vw,W_common,a,n/a,subtract_rf,15,25.648,27.2759,16.6669,1.229,-7.57
french,BEME_D_decile05,10 Portfolios Formed on Book-to-Market - decile 5 (5),ew,W_common,a,n/a,subtract_rf,15,15.736,13.932,23.8238,0.443,-9.01
french,BEME_D_decile05,10 Portfolios Formed on Book-to-Market - decile 5 (5),vw,W_select,a,n/a,subtract_rf,27,19.1867,19.8231,14.2101,1.0196,-14.0194
french,BEME_D_decile05,10 Portfolios Formed on Book-to-Market - decile 5 (5),ew,W_select,a,n/a,subtract_rf,27,14.28,13.0287,20.293,0.4707,-16.9719
french,BEME_D_decile06,10 Portfolios Formed on Book-to-Market - decile 6 (6),vw,W_common,a,n/a,subtract_rf,15,13.072,12.3958,16.8302,0.4695,-9.08
french,BEME_D_decile06,10 Portfolios Formed on Book-to-Market - decile 6 (6),ew,W_common,a,n/a,subtract_rf,15,21.328,20.4548,23.7206,0.6806,-8.909
french,BEME_D_decile06,10 Portfolios Formed on Book-to-Market - decile 6 (6),vw,W_select,a,n/a,subtract_rf,27,15.5378,15.584,14.1014,0.7664,-11.3977
french,BEME_D_decile06,10 Portfolios Formed on Book-to-Market - decile 6 (6),ew,W_select,a,n/a,subtract_rf,27,18.9333,18.3197,20.4784,0.6941,-17.3202
french,BEME_D_decile07,10 Portfolios Formed on Book-to-Market - decile 7 (7),vw,W_common,a,n/a,subtract_rf,15,27.2,29.1426,17.0913,1.2891,-6.7
french,BEME_D_decile07,10 Portfolios Formed on Book-to-Market - decile 7 (7),ew,W_common,a,n/a,subtract_rf,15,22.968,22.4389,23.7715,0.7481,-7.14
french,BEME_D_decile07,10 Portfolios Formed on Book-to-Market - decile 7 (7),vw,W_select,a,n/a,subtract_rf,27,22.1556,23.1703,15.4313,1.1312,-8.5082
french,BEME_D_decile07,10 Portfolios Formed on Book-to-Market - decile 7 (7),ew,W_select,a,n/a,subtract_rf,27,15.8089,14.8431,20.0656,0.5527,-18.5202
french,BEME_D_decile08,10 Portfolios Formed on Book-to-Market - decile 8 (8),vw,W_common,a,n/a,subtract_rf,15,23.88,24.3707,20.1805,0.927,-7.24
